TOP.66b3cf76.00081c5a	START
TOP.66b3cf76.00081c5a	folder_config->cwd	C:\Users\Admin\Documents\PK SEMESTR 3\PRACA MAGISTERSKA\DISTRIBUTED CRACKING\hashcat
TOP.66b3cf76.00081c5a	folder_config->install_dir	.
TOP.66b3cf76.00081c5a	folder_config->profile_dir	.
TOP.66b3cf76.00081c5a	folder_config->session_dir	.
TOP.66b3cf76.00081c5a	folder_config->shared_dir	.
TOP.66b3cf76.00081c5a	user_options->encoding_from	utf-8
TOP.66b3cf76.00081c5a	user_options->encoding_to	utf-8
TOP.66b3cf76.00081c5a	user_options->rule_buf_l	:
TOP.66b3cf76.00081c5a	user_options->rule_buf_r	:
TOP.66b3cf76.00081c5a	user_options->session	hashcat
TOP.66b3cf76.00081c5a	user_options->separator	:
TOP.66b3cf76.00081c5a	user_options->limit	0
TOP.66b3cf76.00081c5a	user_options->skip	0
TOP.66b3cf76.00081c5a	user_options->attack_mode	7
TOP.66b3cf76.00081c5a	user_options->benchmark	0
TOP.66b3cf76.00081c5a	user_options->benchmark_all	0
TOP.66b3cf76.00081c5a	user_options->bitmap_max	18
TOP.66b3cf76.00081c5a	user_options->bitmap_min	16
TOP.66b3cf76.00081c5a	user_options->debug_mode	0
TOP.66b3cf76.00081c5a	user_options->hash_info	0
TOP.66b3cf76.00081c5a	user_options->force	0
TOP.66b3cf76.00081c5a	user_options->hwmon_disable	0
TOP.66b3cf76.00081c5a	user_options->hwmon_temp_abort	90
TOP.66b3cf76.00081c5a	user_options->hash_mode	0
TOP.66b3cf76.00081c5a	user_options->hex_charset	0
TOP.66b3cf76.00081c5a	user_options->hex_salt	0
TOP.66b3cf76.00081c5a	user_options->hex_wordlist	0
TOP.66b3cf76.00081c5a	user_options->hook_threads	4
TOP.66b3cf76.00081c5a	user_options->identify	0
TOP.66b3cf76.00081c5a	user_options->increment	0
TOP.66b3cf76.00081c5a	user_options->increment_max	256
TOP.66b3cf76.00081c5a	user_options->increment_min	1
